# {"env_id": "HopperBulletEnv-v0", "t_start": 1587161614.5459487} 
r,l,t
13.241943,10,6.989839
14.503163,5,6.996601
24.520338,17,7.018106
11.516555,7,7.027325
11.785256,6,7.035241
15.997736,7,7.04437
17.273823,13,7.060863
18.976431,9,7.072407
16.559578,7,7.081757
14.985923,9,7.093254
14.254452,8,7.103524
15.682441,5,7.110227
17.037428,14,7.128409
18.786295,6,7.136508
14.293693,7,7.145553
15.893415,10,7.158273
18.473322,13,7.175041
15.239919,7,7.18406
17.027435,6,7.191937
17.29963,8,7.202436
14.170166,6,7.21048
16.85817,7,7.21966
17.163913,6,7.227639
17.457207,11,7.241668
19.030483,9,7.253101
18.494554,5,7.259644
18.554698,8,7.270125
16.887133,6,7.278102
16.304852,5,7.284803
15.918999,7,7.294018
16.275673,7,7.303273
14.704411,5,7.310012
16.21154,5,7.316614
15.194666,6,7.324439
21.379283,14,7.342137
14.721727,7,7.351139
15.336691,6,7.358951
21.670998,15,7.378126
13.182789,12,7.393092
13.942352,6,7.400863
14.78783,7,7.409905
18.594459,7,7.419276
18.685769,7,7.428456
18.639563,7,7.438041
17.556952,10,7.450945
15.267484,7,7.46011
16.344822,5,7.46668
13.755898,8,7.4769
17.42714,5,7.483574
16.041539,6,7.491411
21.115889,8,7.501968
14.417489,6,7.510039
13.435718,5,7.516966
16.625667,12,7.532077
14.95799,5,7.538736
17.216613,6,7.546572
18.300115,8,7.556825
15.108792,9,7.56836
19.683839,8,7.578635
17.304696,7,7.587773
15.361018,10,7.600476
19.639378,16,7.622178
17.492695,6,7.630079
19.139868,10,7.642847
15.649282,6,7.650646
18.449118,7,7.660028
18.912087,8,7.670496
18.02853,10,7.683265
13.535932,16,7.703382
17.704712,8,7.713946
12.12083,12,7.729529
14.167054,5,7.736078
21.175458,11,7.750135
19.295837,14,7.767876
19.595416,11,7.781782
17.644803,6,7.789743
18.051985,6,7.79759
13.973831,6,7.805431
16.811897,5,7.812063
16.120328,10,7.82481
9.040194,16,7.844972
16.346302,7,7.854091
19.467496,9,7.865453
16.140157,7,7.874665
19.470147,8,7.884988
18.582861,5,7.891649
14.737357,7,7.900718
19.870499,6,7.90875
14.702609,5,7.915565
14.172593,9,7.927199
17.881288,14,7.944669
17.682132,7,7.953733
24.646789,17,7.974829
16.107904,11,7.988687
12.123865,7,7.998025
18.598618,10,8.011043
21.022041,14,8.028407
14.687604,9,8.040219
15.641901,9,8.051587
16.760729,6,8.059505
16.429571,6,8.06753
18.089766,11,8.081842
17.130644,5,8.088472
18.561674,8,8.098943
15.138455,15,8.117626
14.401441,5,8.124159
14.810308,5,8.130816
15.048508,10,8.143391
16.332243,8,8.154068
17.448681,9,8.165784
18.12857,7,8.17485
12.43628,9,8.18633
18.674774,9,8.197811
18.486992,8,8.208183
18.600908,7,8.217411
20.253626,21,8.243107
21.521815,11,8.257091
17.679045,8,8.267425
14.434371,5,8.274042
16.690023,7,8.283363
13.481681,9,8.295072
11.771279,8,8.305307
15.159204,8,8.315512
15.919336,5,8.322294
21.424052,12,8.337584
10.856063,13,8.354039
16.530008,7,8.363291
14.811913,9,8.374855
16.872914,7,8.383942
18.00155,7,8.39309
21.675609,16,8.413073
13.938234,10,8.425827
16.909627,5,8.432502
17.873328,7,8.442073
17.347873,7,8.45115
14.341128,9,8.462677
16.800281,6,8.471514
10.119018,11,8.491662
16.876948,10,8.506234
17.481381,7,8.516401
17.562783,8,8.527606
14.933411,9,8.53951
14.495756,11,8.553965
15.638719,9,8.565824
14.714183,9,8.577506
17.669212,15,8.596468
17.405034,6,8.604689
17.786261,9,8.617101
15.990256,7,8.626015
12.936095,9,8.637275
18.932727,6,8.644957
11.833145,7,8.653816
14.90391,7,8.662852
12.287646,6,8.670523
17.124391,6,8.67826
15.019106,7,8.687206
17.658563,7,8.696115
19.347591,19,8.720306
17.901462,7,8.729513
19.563195,10,8.742254
19.690173,13,8.758536
16.708929,7,8.767706
16.938656,7,8.776886
15.308612,8,8.787131
15.356231,7,8.796238
14.97472,6,8.804113
14.282166,9,8.81561
17.339992,5,8.822371
12.484973,19,8.846439
14.303636,10,8.859021
20.264905,8,8.869374
17.847971,9,8.881001
15.825546,6,8.888856
28.22981,26,8.921764
13.183974,7,8.930741
13.230213,8,8.940952
16.359687,14,8.958409
13.984586,11,8.972174
17.458743,7,8.981616
14.765742,5,8.988256
18.497042,8,8.998519
16.59205,5,9.005306
18.655902,7,9.014395
17.175551,11,9.028522
18.600133,9,9.040176
15.936086,5,9.046904
16.44504,8,9.057231
13.865754,8,9.067973
17.889857,13,9.084421
15.71225,9,9.096156
14.923904,6,9.103985
10.818989,6,9.111945
13.457933,12,9.133852
13.76776,18,9.158932
16.867809,6,9.166989
19.054776,7,9.176094
14.568371,6,9.183986
17.555028,14,9.202176
15.610272,9,9.213708
13.086414,7,9.222752
14.947165,7,9.232478
16.689069,15,9.251615
14.359365,5,9.25857
13.037636,10,9.277033
16.780596,13,9.295982
16.30018,8,9.306773
13.142651,12,9.32197
16.606302,9,9.333489
17.505779,6,9.341444
14.093476,13,9.358278
17.370315,8,9.368803
16.302765,6,9.376779
15.255637,13,9.393502
17.744606,7,9.402548
16.038393,13,9.418652
14.610135,7,9.427799
18.50974,10,9.440852
19.027444,11,9.45578
17.367561,6,9.463916
12.13627,5,9.47058
17.683253,7,9.479728
16.81857,7,9.488859
18.527385,6,9.496821
11.45028,12,9.515951
15.881351,12,9.535234
15.132314,9,9.548662
14.922991,7,9.558363
16.920636,7,9.567437
15.890687,6,9.575334
16.412593,6,9.583477
18.537108,12,9.598842
15.304591,6,9.606801
15.082298,9,9.620655
18.541545,5,9.628111
10.277648,16,9.832989
17.278936,7,9.843385
16.518479,16,9.865028
16.563346,10,9.878017
15.441759,10,9.89095
13.247219,4,9.896383
17.425268,15,9.915427
15.263601,7,9.924502
13.977737,8,9.935136
17.042962,6,9.942893
16.374474,5,9.949526
16.553783,8,9.959904
15.117463,8,9.970236
16.911842,6,9.978998
20.038829,7,9.988292
14.328104,8,9.998556
16.949384,7,10.009072
16.079139,7,10.023421
19.278497,9,10.037305
13.855126,5,10.045269
15.036741,8,10.056738
18.400115,6,10.065619
17.603992,6,10.07442
16.198743,9,10.086786
17.163479,11,10.101104
20.310938,15,10.120471
19.500742,8,10.131133
20.122456,12,10.146411
19.851867,10,10.159302
20.145261,10,10.172184
16.011281,8,10.18271
19.383587,10,10.195608
12.472606,11,10.209613
15.088706,6,10.218115
15.760748,6,10.226399
11.300828,7,10.241588
17.010187,5,10.249461
15.396047,13,10.269249
18.289711,6,10.278374
18.49809,7,10.288577
17.208321,10,10.302781
16.743056,8,10.313549
14.308645,5,10.320291
19.159155,9,10.331854
15.575964,7,10.340981
17.462044,7,10.349935
15.852181,7,10.359057
12.437495,8,10.369299
14.357075,7,10.378274
16.685146,6,10.386178
18.293353,7,10.395255
14.676382,7,10.404489
15.662521,6,10.412262
16.488586,5,10.418904
18.167135,8,10.429153
13.926777,5,10.435825
17.316692,9,10.44725
15.149424,6,10.455227
17.31033,8,10.465712
16.149043,9,10.477192
14.358108,5,10.483742
15.441243,9,10.495023
11.641955,7,10.504098
15.120259,6,10.511901
17.884422,6,10.519659
13.630472,5,10.526301
15.805815,8,10.536551
19.654252,7,10.545631
12.829987,7,10.554705
16.231104,5,10.561409
18.294595,7,10.570493
12.623375,5,10.57708
17.210305,9,10.588537
17.510067,5,10.595138
18.551063,7,10.604283
13.40603,10,10.618169
15.564764,11,10.634075
16.337887,7,10.643584
16.331694,10,10.656528
17.057987,7,10.666157
25.233744,25,10.698658
15.678772,7,10.707983
19.150151,17,10.729787
15.780455,6,10.73781
14.307764,6,10.745936
16.485676,6,10.754154
20.570092,11,10.768499
13.85995,5,10.778959
14.571261,13,10.799927
18.725725,12,10.817507
15.245388,8,10.828743
17.502354,8,10.840547
14.057715,9,10.853028
19.856087,9,10.864962
19.850651,11,10.879158
18.704332,9,10.890833
19.643759,9,10.902509
14.799025,7,10.911702
18.640313,11,10.925705
16.042141,7,10.934719
14.636142,7,10.943721
18.515757,11,10.957622
15.009053,8,10.967986
13.29749,7,10.977023
12.888473,6,10.984966
17.840993,7,10.994153
16.57156,11,11.008164
19.098151,10,11.021167
14.680434,7,11.030342
16.967819,9,11.041878
12.949915,8,11.052271
14.756175,11,11.066301
17.168088,6,11.074315
16.574951,8,11.084755
13.715338,8,11.095876
14.921699,5,11.102623
20.063661,10,11.115297
15.219467,6,11.125335
16.656199,7,11.139636
17.649898,10,11.15483
14.89185,6,11.16397
18.278515,7,11.174544
15.086084,8,11.185926
14.81697,10,11.199369
17.327546,8,11.210154
18.154157,10,11.223444
14.017263,5,11.230383
12.293125,15,11.249505
17.286831,6,11.257431
15.701489,5,11.264211
18.113948,7,11.273493
18.598577,7,11.282598
13.703412,6,11.290539
15.637648,6,11.298485
13.103375,5,11.305202
16.041395,8,11.315745
11.634001,8,11.326286
16.910984,6,11.334313
14.674406,10,11.347233
16.022021,7,11.356656
17.5271,10,11.369514
21.937093,16,11.389843
15.959019,5,11.396607
16.795791,8,11.407165
15.934292,10,11.41994
15.513051,7,11.429227
17.789607,6,11.437166
16.442292,11,11.451215
17.372584,9,11.462873
15.133372,10,11.475724
20.536703,11,11.489923
16.895226,8,11.500387
6.891321,11,11.514324
17.287074,7,11.523366
16.339642,6,11.531432
17.183852,6,11.539251
15.98348,7,11.548727
