eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
416.74,581.3048122200001,677,0.008165063,0.114868164,2.653481,-0.002505103,91.17224,0.6736511588096619,530,1085440,1623.984590209,1085440
403.77,577.00684549,671,0.011364143,0.16540527,2.6192317,-0.0019773915,64.36403,0.7795844972133636,540,1105920,1654.3390932519997,1105920
395.45,583.8759418999999,669,0.0033020498,0.025878906,2.588818,0.0008269863,68.01419,0.7617645263671875,550,1126400,1684.6558106869998,1126400
395.1,594.35039968,662,0.0033560325,0.030029297,2.5474951,-0.00024986122,34.178635,0.9082892686128616,560,1146880,1715.1622606220008,1146880
343.03,505.46941045,662,0.004218529,0.052612305,2.5220842,-0.00010160252,20.06067,0.9355779066681862,570,1167360,1745.467665268001,1167360
382.52,541.0489065,671,0.012045861,0.16882324,2.507317,-0.0060735852,146.95602,0.02495640516281128,580,1187840,1775.7682495999998,1187840
456.03,641.81064014,672,0.009680891,0.13513184,2.4790635,0.0011242232,42.45722,0.6581069827079773,590,1208320,1806.0716815159994,1208320
447.33,626.4856992000001,664,0.011843294,0.1607666,2.4491355,-0.003633125,95.87347,0.45033836364746094,600,1228800,1836.5846091540006,1228800
501.68,689.0987147499999,670,0.0054633496,0.0657959,2.407238,-0.0027757378,57.46044,0.831844836473465,610,1249280,1866.8979338749996,1249280
467.1,657.1805907100002,668,0.0018376814,0.013427734,2.3778322,-0.0018353786,46.152847,0.8959226980805397,620,1269760,1897.3144571600005,1269760
565.26,816.33280008,669,0.00822328,0.119140625,2.3635197,-0.0036979793,50.542126,0.7868928015232086,630,1290240,1927.5865716890003,1290240
566.78,850.8085912900001,674,0.015443464,0.20458984,2.3554204,0.0006760763,86.839935,0.5037090182304382,640,1310720,1958.0697542030011,1310720
558.56,847.9189058699999,671,0.016086474,0.18762207,2.3310654,0.0024585775,116.9591,0.6901693046092987,650,1331200,1988.2979739580005,1331200
555.33,834.06487394,674,0.01785327,0.23413086,2.3196425,-0.0018914463,53.823708,0.7697498053312302,660,1351680,2018.781803754,1351680
563.96,837.6121523,670,0.01303923,0.18457031,2.3166409,0.0032586406,43.42702,0.7027759552001953,670,1372160,2048.997339013,1372160
581.99,846.6034932599999,659,0.007663771,0.10095215,2.2965715,-0.0027691843,76.86888,0.5465861856937408,680,1392640,2079.589799849,1392640
552.64,812.38361623,665,0.0069557885,0.096191406,2.2684271,-0.00071392383,107.61808,0.7715874910354614,690,1413120,2110.009246775,1413120
435.26,671.6620852800002,669,0.0020585258,0.009399414,2.2565887,0.00020832877,52.978497,0.9024370238184929,700,1433600,2140.508737164,1433600
438.97,687.688037,667,0.003529733,0.0345459,2.2411697,-0.0015430223,69.72367,0.7256689369678497,710,1454080,2170.7098660720003,1454080
458.19,717.0407876200001,671,0.004310052,0.04272461,2.2306604,-0.0018209486,95.87859,0.7088966369628906,720,1474560,2201.2541038519994,1474560
566.1,885.6130665200002,670,0.015571093,0.21398926,2.225951,0.0002718228,84.03519,-0.04500997066497803,730,1495040,2231.5341219340007,1495040
567.72,886.4301333,671,0.016748795,0.20935059,2.2050045,-0.0032851885,45.873062,0.707512617111206,740,1515520,2262.026334524,1515520
594.01,924.74872698,667,0.0037842463,0.03894043,2.1615572,-0.0020110337,91.649864,0.8732839077711105,750,1536000,2292.4001254190007,1536000
507.45,803.6847234500002,671,0.0066950596,0.09313965,2.149074,0.0022680955,90.293465,0.010724067687988281,760,1556480,2322.7375941949995,1556480
467.06,742.3532269900003,665,0.01901214,0.22961426,2.1146882,-0.0027303929,98.1101,0.6774941086769104,770,1576960,2352.9587212059996,1576960
493.06,779.5917735900002,658,0.005491077,0.06359863,2.1104941,-0.0033667379,44.938892,0.9134801998734474,780,1597440,2383.659219338,1597440
522.65,822.92384964,655,0.013057,0.17419434,2.088675,0.0028438442,33.00964,0.9369428604841232,790,1617920,2414.136189314,1617920
